years,months,BETA0,BETA1,BETA2,BETA3
0,3,2.0562494168951924,1.387189164802992,-2.265194718282598,13.176619660754088
0,3,2.160271491217657,1.4573646470255404,-2.3797869712476265,13.843201884879127
0,4,2.049896018995402,1.382903028766256,-2.2581957213479344,13.135906551249416
0,4,2.1426162375797175,1.4454540410712402,-2.3603376831593237,13.730065530753109
0,5,2.045831416305944,1.3801609621843922,-2.253718095011155,13.109860234459727
0,5,2.130357302360471,1.4371839051779798,-2.346833059117978,13.651509240109274
0,6,2.0439325935441635,1.3788799763568071,-2.2516263238205596,13.097692418080262
0,6,2.123070052339821,1.432267772831973,-2.3388053168985996,13.60481192746521
0,7,2.0440816689827153,1.3789805457874404,-2.251790547524775,13.098647706061582
0,7,2.120358609938799,1.4304385766805818,-2.335818351915044,13.58743677591173
0,8,2.046165697589538,1.3803864753788462,-2.254086344208843,13.112002337113926
0,8,2.121853985060377,1.431447388232782,-2.337465679228267,13.597019265791259
0,9,2.0500764815417,1.3830247726008418,-2.2583945215534755,13.137062970463957
0,9,2.127212325582577,1.4350622376049678,-2.3433685062637024,13.631355963710156
0,10,2.055710387777943,1.3868255244076109,-2.2646009158482427,13.173165516716061
0,10,2.1361132783479295,1.4410670078099188,-2.3531739272530507,13.688394019620942
0,11,2.062968171919564,1.3917217784510223,-2.272596198020217,13.219674009522537
0,11,2.148258456068539,1.4492604004986693,-2.3665532343542623,13.766221342620685
1,0,2.0717548093417233,1.3976494291177766,-2.2822756875396317,13.275979523074273
1,0,2.163370000426661,1.4594549665978918,-2.383200334741917,13.863057393178327
1,1,2.0819793317192925,1.4045471072597917,-2.2935391723563727,13.34149912467276
1,1,2.1811892381307425,1.4714761996569994,-2.4028302700987156,13.977244571028464
1,2,2.093554670164493,1.4123560743715515,-2.306290736098087,13.415674869542862
1,2,2.201475422329623,1.4851616867796538,-2.4251778301387796,14.107240150047403
1,3,2.106397503839081,1.4210201204606956,-2.3204385912991286,13.497972830726916
1,3,2.2240045546924105,1.5003603139740433,-2.4499962549934513,14.251608730041688
1,4,2.120428114487971,1.430485465913339,-2.33589491915265,13.587882166923931
1,4,2.2485682831264118,1.5169315225301825,-2.47705602092109,14.40901517323164
1,5,2.135570246223951,1.4407006669018878,-2.3525757150473776,13.684914223978229
1,5,2.274972869882012,1.5347446128817295,-2.5061437035561727,14.578217991780411
1,6,2.1517509702283113,1.451616524109234,-2.370400639519823,13.788601667869653
1,6,2.3030382261341322,1.5536780933143033,-2.5370609143899703,14.758063161310545
1,7,2.1689005550377423,1.463185995221563,-2.3892928753604137,13.898497653501066
