years,months,BETA0,BETA1,BETA2,BETA3
0,0,1.0200634195540594,0.6881562671292436,-1.123716924270824,6.536652411363167
0,0,0.9694009562448779,0.6539783023418582,-1.0679064066554929,6.21200307426574
0,0,1.0049983949405557,0.6779930842295263,-1.107121070720707,6.440114463251906
0,0,2.0548804710470767,1.3862656451014883,-2.2636866673237566,13.167847340320304
0,0,3.0763343051411236,2.0753599151639395,-3.3889352927813743,19.71340964530516
0,0,3.152497491726879,2.126741204962994,-3.4728377836777007,20.201469767557683
0,0,3.1596820882939345,2.131588085127147,-3.4807524413369153,20.247509268214657
0,0,3.084306249860605,2.0807379569746316,-3.3977173047905382,19.764494539317564
0,0,3.0921988367509043,2.0860624623223445,-3.406411895043353,19.81507090166857
0,0,3.100012159437846,2.0913334943690307,-3.4150191666794085,19.865139332320343
0,0,3.1077463293115803,2.0965511282608325,-3.4235392424077395,19.91470054507037
0,0,3.1154014756383104,2.101715451203453,-3.431972264629904,19.96375536826738
0,0,3.122977743772686,2.1068265612562,-3.44031839347073,20.012304733356217
0,0,3.130475295381255,2.1118845674827313,-3.4485778070244733,20.060349676309762
0,0,3.1378943073252095,2.116889589197333,-3.4567507001240356,20.107891330469442
0,0,3.1452349709900345,2.121841755512684,-3.464837283602492,20.15493092224959
0,0,2.0552738809487554,1.3865310477070527,-2.264120053480163,13.170368344145325
0,0,3.166788992409527,2.1363825523272055,-3.4885815118444654,20.293050909091086
0,0,3.233643967750561,2.1814843267735595,-3.5622299397973776,20.721463228754153
0,0,3.2399146693566836,2.1857146741488602,-3.5691378372739218,20.761646413435475
0,0,3.17381844785832,2.1411247710254386,-3.4963252637571354,20.338096252379653
0,0,3.1807707100444103,2.145814913522829,-3.5039839784318496,20.38264693473135
0,0,3.187646045767878,2.1504531598083294,-3.511557949779515,20.426704665823582
0,0,3.1944447323309837,2.1550396969558867,-3.5190474832803975,20.470271222632622
0,0,3.201167056979542,2.159574718747576,-3.526452895368726,20.513348445853875
0,0,3.207813317126373,2.16405842582435,-3.533774513678856,20.55593824133377
0,0,3.214383819010597,2.1684910247815696,-3.5410126755683233,20.598042571478416
0,0,3.220878877697635,2.1728727281690037,-3.548167728117848,20.639663455253597
0,0,3.227298816855758,2.1772037543400846,-3.555240027885176,20.680802966752886
0,0,3.246111267910914,2.1898950300446156,-3.5759641017343653,20.801354739511382
0,0,3.3040821306216333,2.2290033949957975,-3.6398256600393326,21.172836916269066
0,0,3.309488135626148,2.232650399831649,-3.6457809949722546,21.207479052210036
0,0,3.252234116130108,2.1940256324110465,-3.5827091217368054,20.840590467221237
0,0,3.2582835734346416,2.1981067237207084,-3.5893732932240354,20.879355899761112
0,0,3.2642600051663337,2.202138550440886,-3.5959570186619962,20.917653378272195
0,0,3.2701637824767187,2.206121362958222,-3.602460706916699,20.955485281124815
0,0,3.275995281880147,2.2100554152772283,-3.6088847727619116,20.99285402105468
0,0,3.2817548851420617,2.213940964944912,-3.615229636756082,21.029762044446937
0,0,3.287442978496915,2.21777827252317,-3.6214957243807864,21.066211826324533
0,0,3.2930599530950766,2.2215676018902797,-3.6276834665330466,21.10220587321202
0,0,3.298606203997302,2.225309219562548,-3.6337932984176247,21.137746716692035
0,0,3.3148246254675855,2.236250508274379,-3.651659750975135,21.241675729124
0,0,3.364457601452157,2.2697339592298014,-3.706336170153242,21.55972802463178
0,0,3.3690570078070103,2.2728368156282297,-3.711402944104225,21.589201408407696
0,0,3.3200920097309914,2.2398039966386865,-3.657462379252909,21.27542957166648
0,0,3.3252907009062733,2.24331114319895,-3.663189334210548,21.30874322310758
0,0,3.330421114388195,2.2467722281892266,-3.6688410734530588,21.341619345331974
0,0,3.3354836679177535,2.250187533426391,-3.6744180571700893,21.3740606152592
0,0,3.340478781693902,2.2535573423855078,-3.679920748259012,21.406069725559586
0,0,3.345406878261826,2.2568819401244573,-3.6853496122018425,21.43764938393831
0,0,3.3502683816191405,2.260161612680962,-3.690705116080613,21.468802307407845
0,0,3.3550637179979663,2.263396647600188,-3.695987729438922,21.499531227299567
0,0,3.3597933149711294,2.2665873333317674,-3.7011979232973062,21.529838883536193
0,0,3.373591965407173,2.2758961935393422,-3.716398720355452,21.61826179912879
0,0,3.4154922346728895,2.30416299767806,-3.762556675638246,21.886762257906387
0,0,3.4193468907257913,2.306763429837064,-3.766803021660322,21.91146321894486
0,0,3.37806290640621,2.278912384503035,-3.72132397497367,21.64691196607154
0,0,3.3824702639632127,2.281885680737554,-3.7261791851333306,21.675154684955935
0,0,3.3868144716841737,2.2848163747626344,-3.7309648285011967,21.70299273436574
0,0,3.391095963845437,2.2877047595502455,-3.735681383482502,21.730428897180392
0,0,3.3953151749467994,2.2905511282231,-3.7403293287286363,21.757465957711222
0,0,3.3994725398232317,2.2933557741300286,-3.7449091432602253,21.784106702417397
0,0,3.403568493309705,2.2961189906198607,-3.749421306097893,21.81035391775808
0,0,3.407603470464642,2.298841071192172,-3.7538662965084217,21.836210391624327
0,0,3.4115779061230134,2.301522309195791,-3.758244593512435,21.861678910475298
0,0,3.4231423078877112,2.3093238981925386,-3.7709841092454273,21.935784572174484
0,0,3.457933324236292,2.3327946505802073,-3.8093104065462113,22.158728338757296
0,0,3.4611055442295666,2.334934697000104,-3.8128049709287977,22.17905619197791
0,0,3.4268789197646425,2.3118446952642184,-3.775100416060326,21.95972909617903
0,0,3.4305571588453248,2.314326112818117,-3.779152418540999,21.98329956238281
0,0,3.4341774573950463,2.316768442469502,-3.783140592877271,22.006498740778245
0,0,3.4377402467852938,2.319171975230663,-3.7870654142743403,22.029329395630196
0,0,3.4412459572703,2.321537001360168,-3.790927356706623,22.05179428404407
0,0,3.444695018433946,2.3238638106643514,-3.7947268934100653,22.073896158829605
0,0,3.4480878589663106,2.326152692346568,-3.798464496635987,22.09563776706897
0,0,3.4514249059933175,2.328403934554963,-3.8021406369126125,22.117021845821103
0,0,3.454706586082264,2.330617825060819,-3.805755784152775,22.138051128565223
0,0,3.464223668607273,2.337038249378392,-3.8162399427825497,22.199037395932244
0,0,3.4925215520782715,2.356128597570246,-3.84741330903394,22.38037261948927
0,0,3.4950720796195998,2.3578492371681428,-3.850223007832141,22.396716615052366
0,0,3.467288118573892,2.339105591868484,-3.819615786112542,22.21867464973413
0,0,3.470299313658026,2.341137007493212,-3.822932963077678,22.237970641758228
0,0,3.473257672159298,2.3431327784463116,-3.826191934482998,22.256928052503795
0,0,3.4761636108131766,2.3450931858663067,-3.8293931594104476,22.27554955244686
0,0,3.479017544567524,2.347018509685766,-3.8325370949727193,22.29383780060832
0,0,3.48181988680605,2.3489090287820447,-3.8356241965594102,22.311795445985833
0,0,3.4845710495717594,2.3507650211280335,-3.8386549180831784,22.329425128985726
0,0,3.487271442784875,2.352586763264548,-3.8416297111181947,22.346729476411358
0,0,3.4899214748014664,2.3543745306771937,-3.844549025515534,22.363711105042853
0,0,3.497573460083529,2.3595367211125042,-3.8529785654842192,22.41274567199907
0,0,3.519971439649493,2.3746468698678522,-3.8776525104814326,22.556273813811593
0,0,3.5219582385087036,2.3759872062236926,-3.8798411974399283,22.569005388442147
0,0,3.500026094563981,2.3611913199897367,-3.8556804238411626,22.428462360573047
0,0,3.502430382143823,2.3628133030295486,-3.858329022538549,22.44386923813097
0,0,3.504786720118317,2.3644029382556915,-3.860924799242706,22.458968850574376
0,0,3.507095503548218,2.365960492184471,-3.8634681891583935,22.4737637294859
0,0,3.5093571257066754,2.3674862301262363,-3.8659596255211204,22.488256394993048
0,0,3.511571977855784,2.368980416034638,-3.8683995393509867,22.50244935433631
0,0,3.5137404492465802,2.3704433125066235,-3.8707883594526824,22.516345101869167
0,0,3.515862926895598,2.3718751806316973,-3.8731265121693346,22.52994611762619
0,0,3.517939796031762,2.373276280293406,-3.8754144218748148,22.543254870186814
0,0,3.5239005714699774,2.3772975449482554,-3.8819809001087155,22.581452021849046
0,0,3.540960077064428,2.3888062467249354,-3.9007739033560607,22.69077077227476
0,0,3.5424376694243866,2.3898030616516115,-3.90240164091652,22.70023930871827
0,0,3.5257988152711146,2.378578140196797,-3.884072033507718,22.59361612819989
0,0,3.5276533444154112,2.3798292446171274,-3.886115010195296,22.605500107343374
